timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-23 20:53:08,PO ADVANCE BOT,13,⏳ Generating new signals please wait....,No,,,
2026-01-23 20:53:08,PO ADVANCE BOT,12,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ CHFNOK_otc ⏰ Entry Time    │ 20:53 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,CHFNOK_otc,call,20:53
2026-01-23 20:53:08,PO ADVANCE BOT,10,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ USDEGP_otc ⏰ Entry Time    │ 20:51 (Server Time) 🎯 Direction     │ PUT ➥ DOWN ⬇️⬇️⬇️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,USDEGP_otc,put,20:51
2026-01-23 20:53:08,PO ADVANCE BOT,8,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ GBPJPY_otc ⏰ Entry Time    │ 20:46 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,GBPJPY_otc,call,20:46
2026-01-23 20:53:08,PO ADVANCE BOT,6,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ CADCHF_otc ⏰ Entry Time    │ 20:39 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,CADCHF_otc,call,20:39
2026-01-23 20:53:08,PO ADVANCE BOT,4,Wait,No,,,
