timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-22 20:15:08,po advance bot,3631,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:19:02,po advance bot,3632,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ EURNZD_otc ⏰ Entry Time    │ 20:20 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,EURNZD_otc,call,20:21
2026-01-22 20:19:06,po advance bot,3633,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:21:00,po advance bot,3634,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ USDBDT_otc ⏰ Entry Time    │ 20:22 (Server Time) 🎯 Direction     │ PUT ➥ DOWN ⬇️⬇️⬇️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,USDBDT_otc,put,20:22
2026-01-22 20:21:03,po advance bot,3635,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:23:01,po advance bot,3636,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ CHFNOK_otc ⏰ Entry Time    │ 20:24 (Server Time) 🎯 Direction     │ PUT ➥ DOWN ⬇️⬇️⬇️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,CHFNOK_otc,put,20:33
2026-01-22 20:23:04,po advance bot,3637,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:27:03,po advance bot,3639,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:33:57,po advance bot,3640,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ USDSGD_otc ⏰ Entry Time    │ 20:35 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,USDSGD_otc,call,20:35
2026-01-22 20:34:01,po advance bot,3641,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:35:57,po advance bot,3642,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ UAHUSD_otc ⏰ Entry Time    │ 20:37 (Server Time) 🎯 Direction     │ CALL ➥ UP ⬆️⬆️⬆️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,UAHUSD_otc,call,20:37
2026-01-22 20:36:00,po advance bot,3643,⏳ Generating new signals please wait....,No,,,
2026-01-22 20:40:58,po advance bot,3645,⁠  `𓂀𓂀𓂀 POCKET PRO AI  𓂀𓂀𓂀            🏦 Broker        │ Pocket Option 💹 Pair          │ AEDCNY_otc ⏰ Entry Time    │ 20:42 (Server Time) 🎯 Direction     │ PUT ➥ DOWN ⬇️⬇️⬇️  ∯ Strategy       │ NXP Elite Protocol ∯ ⚠️  Rule         │ SKIP if payout; 80%  🔥 HIGH CONFIDENCE SIGNAL 🔥       Execute with confidence!`,Yes,AEDCNY_otc,put,00:47
2026-01-22 20:41:01,po advance bot,3647,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → MADUSD_otc ⏳ Time      → 20:16 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 7 ⚡ LOSS      : 1 🎯 WINRATE   : 87.5% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:41:08,po advance bot,3648,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → EURNZD_otc ⏳ Time      → 20:20 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 8 ⚡ LOSS      : 1 🎯 WINRATE   : 88.89% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:41:37,po advance bot,3650,```╔═════════════════╗ ║ PO RESULT SHOWED ╠═════════════════╣   ✅ EURNZD_otc   19:50 𝗣Რ𝗢𝗙𝗜Τ ✅  ✅ USDJPY_otc   19:57 𝗣Რ𝗢𝗙𝗜Τ ✅¹  ✅ GBPUSD_otc   20:01 𝗣Რ𝗢𝗙𝗜Τ ✅  ❌ AUDCAD_otc   20:03 𝗗𝗘𝗙𝗘𝗔ΤΣ ❎  ✅ AUDNZD_otc   20:05 𝗣Რ𝗢𝗙𝗜Τ ✅¹  ✅ EURNZD_otc   20:07 𝗣Რ𝗢𝗙𝗜Τ ✅  ✅ USDMXN_otc   20:14 𝗣Რ𝗢𝗙𝗜Τ ✅  ✅ MADUSD_otc   20:16 𝗣Რ𝗢𝗙𝗜Τ ✅  ✅ EURNZD_otc   20:20 𝗣Რ𝗢𝗙𝗜Τ ✅  ✅ USDBDT_otc   20:22 𝗣Რ𝗢𝗙𝗜Τ ✅  ╠══════════════╣ ║   ✅ TOTAL WINS:   9 ║   ❌ TOTAL LOSSES: 1 ║   💀 ACCURACY: 90.0% ╚══════════════╝```,No,,,
2026-01-22 20:41:57,po advance bot,3651,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → CHFNOK_otc ⏳ Time      → 20:24 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 10 ⚡ LOSS      : 1 🎯 WINRATE   : 90.91% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:42:00,po advance bot,3652,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → SARCNY_otc ⏳ Time      → 20:28 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 11 ⚡ LOSS      : 1 🎯 WINRATE   : 91.67% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:42:26,po advance bot,3653,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → USDSGD_otc ⏳ Time      → 20:35 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 12 ⚡ LOSS      : 1 🎯 WINRATE   : 92.31% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:42:43,po advance bot,3654,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → UAHUSD_otc ⏳ Time      → 20:37 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 13 ⚡ LOSS      : 1 🎯 WINRATE   : 92.86% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:43:02,po advance bot,3655,✦✦✦ RESULTADO FINAL ✦✦✦       VICTORY CONFIRMED ✅  💎 Pair      → AEDCNY_otc ⏳ Time      → 20:42 👑 Outcome   → PROFIT SECURED 💰🔥  ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃ ✨ PROFIT    : 14 ⚡ LOSS      : 1 🎯 WINRATE   : 93.33% 🔥 ▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃,No,,,
2026-01-22 20:52:55,po advance bot,3656,,No,,,
